Kanji	On	Kun
椎	shii	u-tsu;shii;sebone;tsuchi
胡	u;ko;go	izuku-nezo;ebisu;detarame;nagai-ki;nan-zo;mida-ri;kuru
概	gai;kai	oomu-ne
一	ichi;itsu;i	hito-tsu;hito;tsui
二	ni;ji	futa-tsu;futa
三	san	mit-tsu;mi
四	shi	yot-tsu;yon;yo
五	go	itsu-tsu;itsu;taga-i;katami-ni
六	roku	mut-tsu;mutsu;mu;mui
七	shichi	nana-tsu;nana;nano
八	hachi;you	yat-tsu;yatsu;ya
九	ku;kyuu	kokono-tsu;kokono
十	juu;ji- じっ＝jixtsu	too;to
百	hyaku	momo
千	sen;zen	chi
上	jou	ue;a-geru;a-garu;nobo-ru;kami;uwa;u
下	ka;ge	shita;sa-geru;sa-garu;kuda-ru;kuda-su;kuda-saru;o-rosu;o-riru;shimo
左	sa	hidari
右	u;yuu	migi
中	chuu;jyuu	naka;a-taru;a-teru;uchi
大	dai;tai	oo-kii;oo-ini;o
小	shou	chii-sai;ko;o;chi-tchai
月	gatsu;getsu	tsuki
日	hi;bi	nichi;jitsu;ka;tachi;nou;shita
年	nen	toshi
早	sou;satsu	haya-i;haya-maru;haya-meru;sa
木	moku;boku	ki;ko;gi;go
林	rin	hayashi;bayashi;oo-i
山	san;sen;zan;zen	yama
川	sen	kawa
土	do;to	tsuchi;mi
空	kuu	sora;a-ku;a-keru;kara
田	den	ta
天	ten	ama
生	sei;shou;jou	i-kiru;u-mu;u-mareru;nama;i-kasu;i-keru;ha-yasu;ha-eru;
花	ka	hana
草	sou	kusa
虫	chuu	mushi
犬	ken	inu
人	jin;nin	hito;ri
名	mei;myou	na
女	jo;nyo;nyou	onna;me;nanji;musume;mea-waseru
男	dan;nan	otoko
子	shi;su;ji	ko;otoko;ne;mi;go
目	moku	me
耳	ji	mimi
口	kou;gou	kuchi;guchi
手	shu;zu	te;de;ta;ma
足	soku	ashi
見	ken	mi-ru
音	on	ne;oto
力	riki;ryoku	chikara
気	ki;ke	–
円	en	maru
入	nyuu	hai-ru;i-ru
出	shutsu;sui	de-ru;da-su;ida-su;i-zu
立	ritsu	ta-tsu
休	kyuu	yasu-mu
先	sen	saki
夕	seki	yuu
本	hon;bon;pon	moto
文	bun;mon	fumi
字	ji	aza
学	gaku	mana-bu
校	kou	–
村	son	mura
町	chou	machi
森	shin	mori
正	sei	tada-shii
水	sui	mizu
火	ka	hi
玉	gyoku	tama
王	ou	–
石	seki	ishi
竹	chiku	take
糸	shi	ito
貝	–	kai
車	sha	kuruma
金	kin	kane
雨	u	ame
赤	seki	aka
青	sei	ao
白	haku	shiro
数	suu	kazu
多	ta	oo-i
少	shou	suku-nai;zuku-nasa;suko-shi;shibara-ku;mare;waka-i
万	man	yorozu
半	han	naka-ba
形	kei; gyou	katachi
太	ta	futo-i
細	sai	hoso-i
広	kou	hiro-i
長	chou	naga-i
点	ten	bochi△
丸	gan	maru
交	kou	maji-waru
光	kou	hikari;hika-ru
角	kaku	kado;tsuno;sumi
計	kei	haka-ru
直	choku;jiki	tada-chi;nao-su
線	sen	–
矢	shi	ya
弱	jaku	yowa-i
強	kyou;gou	tsuyo-i;tsuyo-maru;tsuyo-meru;shi-iro;ataga-chi;kowa-i;shitata-ka;tsuto-meru
高	kou	taka-i
同	dou	ona-ji
親	shin	oya
母	bo	haha;kaa
父	fu	chichi;tou
姉	shi	ane;ne
兄	kei;kyou	ani;ni;to-ko
弟	tei;dai;de	otouto;ko
妹	mai	imouto
自	ji; shi	mizuka-ra
友	yuu;u	tomo
体	tai	karada
毛	mou	ke
頭	tou	atama
顔	gan	kao
首	shu	kubi
心	shin	kokoro;goko;gokoro
時	ji	toki
曜	you	kagaya-ku
朝	chou	asa
昼	chuu	hiru
夜	ya	yo;yoru
分	fun;bun;bu;pun;pu	wa-karu;wa-keru;wa-kareru;wa-katsu
週	shuu	–
春	shun	haru
夏	ka	natsu
秋	shuu	aki
冬	tou	fuyu
今	kon;kin;	ima;ke
新	shin	atara-shii;ara-ta;nii;sara
古	ko;go	furu-i;furu-su;inishie
間	kan;ken	ma;aida
方	hou	kata
北	hoku	kita
南	nan	minami
東	tou	higashi;azuma
西	sei; sai	nishi
遠	en	too-i
近	kin	chika-i
前	zen	mae
後	go;kou	nochi;ushi-ro;ato
内	nai	uchi
外	gai; ge	soto;hoka;hazu-su
場	jou	ba
地	chi; ji	–
国	koku;goku	kuni;guni
園	en	sono
谷	koku	tani
野	ya	no
原	gen	hara
里	ri	sato
市	shi	ichi
京	kyou;kei	miyako
風	fuu;bu	kaze
雪	setsu	yuki
雲	un	kumo
池	chi	ike
海	kai	umi
岩	gan	iwa
星	sei	hoshi
室	shitsu	muro
戸	ko	to;be
家	ka;ke	ie;ya;uchi
寺	ji	tera
通	tsuu	too-ru
門	mon	kado
道	dou	michi
話	wa	hanashi;hana-su
言	gen;gon	i-u;koto
答	tou	kota-eru;kota-e
声	sei	koe
聞	bun; mon	ki-ku
語	go	kata-ru
読	doku	yo-mu
書	sho	ka-ku
記	ki	shiru-su
紙	shi	kami
画	ga; kaku	–
絵	kai	e
図	zu; to	haka-ru
工	kou; ku	–
教	kyou	oshi-eru
晴	sei	hare;ha-rasu;ha-reru;ba
思	shi	omo-u
考	kou	kanga-eru
知	chi	shi-ru
才	sai;zai	wazukani;zae
理	ri	kotowari
算	san	–
作	sa;saku	tsuku-ru;na-su
元	gen; gan	moto
食	shoku;shuu	ta-beru;ku-u
肉	niku	–
馬	ba	uma;ma
牛	gyuu	ushi
魚	gyo	uo;sakana
鳥	chou	tori
羽	u	ha;hane
鳴	mei	na-ku
麦	baku	mugi
米	bei; mai	kome
茶	cha;sa	–
色	shoku	iro
黄	ou	ki
黒	koku	kuro
来	rai	ku-ru;ki;ko
行	kou; gyou	i-ku;yu-ku;okona-u
帰	ki	kae-ru
歩	ho	aru-ku;ayu-mu
走	sou	hashi-ru
止	shi	to-maru
活	katsu	iki-ru;ika-su
店	ten	mise
買	bai	ka-u
売	bai	u-ru
午	go	uma
汽	ki	–
弓	kyuu	yumi
回	kai;e	mawa-su;mawa-ru
会	kai;gai;e	a-u;atsu-maru;atsu-meru
組	so	kumi
船	sen	fune
明	mei;myou;min	aka-rui;a-kasu;aka-ramu;a-kari;aka-rumu;aki-raku;a-ku;a-kuru;a-keru;a
社	sha	yashiro
切	setsu	ki-ru
電	den	–
毎	mai	–
合	gou	a-u
当	tou	a-taru
台	dai; tai	–
楽	raku;gaku;gyou;gou	tano-shii;tano-shimu;kana-deru;kono-mu
公	kou	ouyake
引	in	hi-ku;hi-keru;biki
科	ka	–
歌	ka	uta
刀	tou	katana
番	ban	–
用	you	mochi-iru
何	ka	nani; nan
丁	chou	–
世	sei; se	yo
両	ryou	–
主	shu	nushi;omo-ni;omo-na
乗	jou	no-ru
予	yo	–
事	ji	ko;koto;go;goto
仕	shi	tsuka-eru
他	ta	hoka
代	dai; tai	ka-waru;yo
住	juu	su-mu
使	shi	tsuka-u;tsuka-wasu
係	kei	kakari;kaka-ru
倍	bai	–
全	zen;sen	matta-ku
具	gu	tubusa-ni;tsuma;sona-eru;sona-waru
写	sha	utsu-su;utsu-ru
列	retsu	–
助	jo	tasu-keru;tasu-karu;sake
勉	ben	tsuto-meru
動	dou	ugo-ku
勝	shou	ka-tsu
化	ka;ke	ba-keru;ba-kasu;ka-eru;ka-waru
区	ku	–
医	i	–
去	kyo;ko	sa-ru
反	han;tan;hon	so-ru;so-rasu;kae-su;kae-ru;somu-u
取	shu	to-ru
受	ju	u-keru;u-karu
号	gou	–
向	kou;kyou;shou	mu-kau;mu-ku;mu-kou;saki-ni
君	kun	kimi
味	mi;bi;i	aji;aji-wau
命	mei	inochi
和	wa	–
品	hin;hon;pin	shina
員	in	–
商	shou	–
問	mon	to-i;to-u;ton
坂	–	saka
央	ou	–
始	shi	haji-meru;haji-maru
委	i	yuda-neru
守	shu	mamo-ru
安	an	yasu-i
定	tei;jou	sada-meru;sada-maru
実	jitsu	mi;mino-ru
客	kyaku	–
宮	kyuu	miya
宿	shuku;suku;juku;	yado;yado-ru
寒	kan	samu-i
対	tai	–
局	kyoku	–
屋	oku	ya
岸	gan	kishi
島	tou	shima;jima
州	shuu	–
帳	chou	–
平	hei;byou	tai-ra;hira
幸	kou	saiwa-i;shiawa-se
度	do	–
庫	ko	–
庭	tei	niwa
式	shiki	–
役	yaku	–
待	tai	ma-tsu
急	kyuu	iso-gu
息	soku	iki;iko-u;yasu-mu;ya-mu;musu-ko
悪	aku	waru-i
悲	hi	kana-shii
想	sou	–
意	i	–
感	kan	–
所	sho;so;jo	tokoro
打	da	u-tsu
投	tou	na-geru
拾	–	hiro-u
持	ji	mo-tsu
指	shi	yubi; sa-su
放	hou	hana-su;hana-tsu;hana-reru
整	sei	totono-eru;totono-u
旅	ryo	tabi
族	zoku	–
昔	–	mukashi
昭	shou	–
暑	sho	atsu-i
暗	an	kura-i
曲	kyoku	ma-garu;ma-geru
有	yuu	a-ru
服	fuku	–
期	ki	–
板	han;ban;pan	ita
柱	chuu	hashira
根	kon	ne
植	shoku	u-eru
業	gyou	–
様	you	sama
横	ou	yoko
橋	kyou	hashi
次	ji	tsugi;tsu-gu
歯	shi	ha
死	shi	shi-nu
氷	hyou	kouri
決	ketsu	ki-meru;ki-maru
油	yu	abura
波	ha	nami
注	chuu	soso-gu
泳	ei	oyo-gu
洋	you	–
流	ryuu	naga-reru
消	shou	ki-eru;ke-su
深	shin	fuka-i
温	on	atata-kai;atata-ka;atata-maru;atata-meru
港	kou	minato
湖	ko	mizuumi
湯	tou	yu
漢	kan	–
炭	tan	sumi
物	butsu;motsu	mono
球	kyuu	tama
由	yuu;yu	yoshi
申	–	mou-su
界	kai	–
畑	–	hata;hatake
病	byou	yamai
発	hatsu	–
登	tou;to	nobo-ru
皮	hi	kawa
皿	–	sara
相	sou	ai
県	ken	–
真	shin	ma
着	chaku	ki-ru;tsu-ku
短	tan	mijika-i
研	ken	to-gu
礼	rei	–
神	shin;jin	kami
祭	sai	matsu-ri;matsu-ru
福	fuku	–
秒	byou	–
究	kyuu	–
章	shou	–
童	dou	–
笛	teki	fue
第	dai	–
筆	hitsu	fude
等	tou	hito-shii
箱	–	hako
級	kyuu	–
終	shuu	o-waru;o-eru
緑	ryoku	midori
練	ren	ne-ru
羊	you	hitsuji
美	bi	utsuku-shii
習	shuu	nara-u;ra-tsu
者	sha	mono
育	iku	soda-tsu;soda-teru;haguku-mu
