Kanji	On	Kun
命	mei	inochi
和	wa	–
品	hin	shina
員	in	–
商	shō	–
問	mon	to-i;to-u;ton
坂	–	saka
央	ō	–
始	shi	haji-meru;haji-maru
委	i	yuda-neru
守	shu	mamo-ru
安	an	yasu-i
定	tei;jō	sada-meru;sada-maru
実	jitsu	mi;mino-ru
客	kyaku	–
宮	kyū	miya
宿	shuku	yado;yado-ru
寒	kan	samu-i
対	tai	–
局	kyoku	–
屋	oku	ya
岸	gan	kishi
島	tō	shima
州	shū	–
帳	chō	–
平	hei;byō	tai-ra;hira
幸	kō	saiwa-i;shiawa-se
度	do	–
庫	ko	–
庭	tei	niwa
式	shiki	–
役	yaku	–
待	tai	ma-tsu
急	kyū	iso-gu
息	soku	iki
悪	aku	waru-i
悲	hi	kana-shii
想	sō	–
意	i	–
感	kan	–
所	sho	tokoro
打	da	u-tsu
投	tō	na-geru
拾	–	hiro-u
持	ji	mo-tsu
指	shi	yubi; sa-su
放	hō	hana-su;hana-tsu;hana-reru
整	sei	totono-eru;totono-u
旅	ryo	tabi
族	zoku	–
昔	–	mukashi
昭	shō	–
暑	sho	atsu-i
暗	an	kura-i
曲	kyoku	ma-garu;ma-geru
有	yū	a-ru
服	fuku	–
期	ki	–
板	han or ban	ita
柱	chū	hashira
根	kon	ne
植	shoku	u-eru
業	gyō	–
様	yō	sama
横	ō	yoko
橋	kyō	hashi
次	ji	tsugi;tsu-gu
歯	shi	ha
死	shi	shi-nu
氷	hyō	kōri
決	ketsu	ki-meru;ki-maru
油	yu	abura
波	ha	nami
注	chū	soso-gu
泳	ei	oyo-gu
洋	yō	–
流	ryū	naga-reru
消	shō	ki-eru;ke-su
深	shin	fuka-i
温	on	atata-kai;atata-ka;atata-maru;atata-meru
港	kō	minato
湖	ko	mizūmi
湯	tō	yu
漢	kan	–
炭	tan	sumi
物	butsu;motsu	mono
球	kyū	tama
由	yū or yu	yoshi
申	-	mō-su
界	kai	-
畑	-	hata;hatake
病	byō	yamai
発	hatsu	–
登	tō;to	nobo-ru
皮	hi	kawa
皿	-	sara
相	sō	ai
県	ken	–
真	shin	ma
着	chaku	ki-ru;tsu-ku
短	tan	mijika-i
研	ken	to-gu
礼	rei	–
神	shin;jin	kami
祭	sai	matsu-ri;matsu-ru
福	fuku	–
秒	byō	–
究	kyū	–
章	shō	–
童	dō	–
笛	teki	fue
第	dai	-
筆	hitsu	fude
等	tō	hito-shii
箱	-	hako
級	kyū	–
終	shū	o-waru;o-eru
緑	ryoku	midori
練	ren	ne-ru
羊	yō	hitsuji
美	bi	utsuku-shii
習	shū	nara-u
者	sha	mono
育	iku	soda-tsu;soda-teru;haguku-mu
苦	ku	kuru-shii;kuru-shimu;kuru-shimeru;niga-i;niga-ru
荷	ka	ni
落	raku	o-chiru;otosu
葉	yō	ha
薬	yaku	kusuri
血	ketsu	chi
表	hyō	omote;arawa-su;arawa-reru
詩	shi	–
調	chō	shira-beru
談	dan	–
豆	tō;zu	mame
負	fu	ma-keru;o-u
起	ki	o-kiru;o-kosu;o-koru
路	ro	ji
身	shin	mi
転	ten	koro-bu
軽	kei	karu-i
農	nō	–
返	hen	kae-su;kae-ru
追	tsui	o-u
送	sō	oku-ru
速	soku	haya-i;haya-maru;haya-meru
進	shin	susu-mu
遊	yū	aso-bu
運	un	hako-bu
部	bu	–
都	to;tsu	miyako
配	hai	kuba-ru
酒	shu	sake;saka
重	jū;chō	omo-i;kasa-neru
鉄	tetsu	–
銀	gin	–
開	kai	hira-ku;a-ku;hira-keru;a-keru
院	in	–
陽	yō	–
階	kai	–
集	shū	atsu-maru;atsu-meru
面	men	omo-te;tsura
題	dai	–
飲	in	no-mu
館	kan	yakata
駅	eki	–
鼻	bi	hana
不	fu;bu	–
争	sō	araso-u
付	fu	tsu-ku
令	rei	–
以	i	–
仲	chū	naka
伝	den	tsuta-eru
位	i	kurai
低	tei	hiku-i
例	rei	tato-eru
便	ben;bin	tayo-ri
信	shin	–
倉	sō	kura
候	kō	–
借	shaku	ka-riru
停	tei	–
健	ken	–
側	soku	kawa
働	dō	hatara-ku
億	oku	–
兆	chō	kiza-shi
児	ji;ni	–
共	kyō	tomo
兵	hei;hyō	tsuwamono
典	ten	–
冷	rei	tsume-tai;hi-eru;sa-meru
初	sho	hatsu;haji-me
別	betsu	waka-reru
利	ri	–
刷	satsu	su-ru
副	fuku	–
功	kō	–
加	ka	kuwa-eru
努	do	tsuto-meru
労	rō	negira-u
勇	yū	isa-mu
包	hō	tsutsu-mu
卒	sotsu	–
協	kyō	–
単	tan	–
博	haku	–
印	in	shirushi
参	san	mai-ru
史	shi	–
司	shi	–
各	kaku	ono-ono
告	koku	tsu-geru
